15,15,15,14,13,11,9,8,8,8,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7
15,15,14,13,11,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,7
15,14,13,11,9,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,10,7
14,13,11,9,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,7,7
13,11,9,8,8,7,7,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,6,6,6
11,9,8,8,7,7,7,7,7,7,7,6,6,5,5,4,4,4,4,4,4,4,5,5,5
9,8,8,7,7,7,7,7,7,7,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4
8,8,7,7,7,7,7,7,6,6,6,5,4,4,4,3,3,3,3,3,3,3,4,4,4
8,7,7,7,7,7,7,7,6,6,5,5,4,4,3,3,2,2,2,2,3,3,3,3,3
8,7,7,7,7,7,6,6,6,5,5,4,4,4,3,2,2,2,2,2,2,2,2,2,2
7,7,7,7,7,7,6,6,5,5,4,4,3,3,3,2,2,1,1,1,2,2,2,2,2
7,7,7,7,7,7,6,5,5,4,4,4,3,3,2,1,1,1,1,1,1,1,1,2,2
7,9,7,10,7,7,6,5,4,4,4,3,3,2,2,1,1,0,0,0,1,1,1,1,1
7,9,9,7,7,7,6,5,4,4,3,3,2,2,1,1,1,0,0,0,0,0,1,1,1
7,10,10,9,7,6,6,5,4,3,2,2,2,1,1,1,0,0,0,0,0,0,0,1,1
7,9,9,9,7,6,6,5,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1
7,7,9,9,7,6,6,5,4,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1
7,7,10,7,7,6,6,5,4,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0
7,7,10,7,7,6,6,5,4,4,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0
7,9,7,7,7,6,6,5,4,4,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0
7,7,9,7,7,6,6,5,5,4,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0
7,7,9,9,7,7,6,6,5,4,4,4,3,2,2,1,0,0,0,0,0,0,0,0,0
7,7,7,9,7,7,7,6,5,4,4,4,3,2,2,1,1,0,0,0,0,0,0,0,0
7,7,7,9,9,7,7,6,5,5,4,4,4,3,2,1,1,1,0,0,0,0,0,0,0
7,7,7,7,9,7,7,6,6,5,5,4,4,3,2,2,1,1,1,1,0,0,0,0,0
